Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
235,438.05000,433.05000,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
236,438.05000,432.65000,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
237,438.05000,431.05000,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
238,438.06250,433.06250,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
239,438.06250,432.66250,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
240,438.06250,431.06250,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
241,438.07500,433.07500,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
242,438.07500,432.67500,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
243,438.07500,431.07500,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
244,438.08750,433.08750,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
245,438.08750,432.68750,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
246,438.08750,431.08750,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
247,438.10000,433.10000,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
248,438.10000,432.70000,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
249,438.10000,431.10000,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
250,438.11250,433.11250,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
251,438.11250,432.71250,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
252,438.11250,431.11250,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
253,438.12500,433.12500,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
254,438.12500,432.72500,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
255,438.12500,431.12500,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
256,438.13750,433.13750,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
257,438.13750,432.73750,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
258,438.13750,431.13750,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
259,438.15000,433.15000,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
260,438.15000,432.75000,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
261,438.15000,431.15000,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
262,438.16250,433.16250,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
263,438.16250,432.76250,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
264,438.16250,431.16250,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
265,438.17500,433.17500,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
266,438.17500,432.77500,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
267,438.17500,431.17500,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
268,438.18750,433.18750,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
269,438.18750,432.78750,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
270,438.18750,431.18750,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
271,438.20000,433.20000,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
272,438.20000,432.80000,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
273,438.20000,431.20000,7.00 MHz,Minus,FM,7.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
274,438.21250,433.21250,5.00 MHz,Minus,FM,5.0Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
275,438.21250,432.81250,5.40 MHz,Minus,FM,5,4Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
